,Unnamed: 0,search_id,trip_index,received_date,received_ms,origin,destination,total_usd,pax_type,refundable,validating_carrier,departure_odate,departure_ms,outgoing_duration,outgoing_stops,return_odate,return_ms,returning_duration,returning_stops,major_carrier_id,total_stops,advance,length_of_stay,includes_saturday_night_stay,available_seats,lowest_cabin_class,highest_cabin_class
0,2451655,660209ae-7069-3a59-b193-61f2ee51016e,135,2016-03-02,1456966043892,BOS,CUN,488.69,ADT,,UA,2016-04-28,1461839400000,483,1,2016-05-02,1462222200000,432,1,UA,2,57,4,True,9,E,E
1,359790,8f562a7c-fa2b-3107-99e2-5860f6b0264b,43,2016-10-22,1477189113113,BOS,CUN,740.93,ADT,,UA,2016-11-22,1479824220000,1523,1,2016-11-27,1480249200000,1275,1,UA,2,31,5,True,4,E,E
2,1888451,708067b6-3ae1-30a0-ac5f-370bb69eb937,192,2016-04-25,1461587327634,BOS,CUN,497.8,ADT,,AA,2016-05-10,1462901400000,423,1,2016-05-17,1463512500000,441,1,AA,2,15,7,True,9,E,E
3,2973055,33531f8d-e4b4-3dbc-a0ea-a480834ee1ae,159,2016-12-03,1480794140210,BOS,CUN,383.58,ADT,,B6,2017-06-10,1497087000000,615,1,2017-06-17,1497719760000,248,0,B6,1,189,7,True,9,E,E
4,1783576,72aec7bf-c516-3282-8802-28e22a0042be,41,2016-10-03,1475535295102,BOS,CUN,315.93,ADT,,AA,2016-11-13,1479038400000,427,1,2016-11-17,1479384000000,452,1,AA,2,41,4,False,9,E,E
5,1173828,c23c17d1-5e23-3b3e-bf2a-aa67764e9823,121,2016-10-07,1475890161395,BOS,CUN,1046.43,ADT,,AA,2017-04-13,1492085100000,505,1,2017-04-20,1492707600000,1128,1,AA,2,188,7,True,4,E,F
6,2599290,3f169699-72a0-30ef-a750-1d4919108d8e,137,2015-11-12,1447346228406,BOS,CUN,441.7,,,,2015-12-08,1449568800000,605,1,2015-12-15,1450216200000,423,1,UA,2,26,7,True,9,E,E
7,1553985,51a60d24-ba87-30bf-8176-0b02d19ff8cc,114,2016-12-11,1481458231553,BOS,CUN,284.68,ADT,,UA,2017-01-04,1483539000000,865,1,2017-01-11,1484171460000,432,1,UA,2,24,7,True,8,E,E
8,533510,6d17e9c2-9a60-3a9d-badf-86ee79ac9a12,12,2016-02-02,1454421703772,BOS,CUN,279.29,ADT,,DL,2016-03-08,1457457300000,875,2,2016-03-14,1457997900000,1015,2,DL,4,35,6,True,4,E,E
9,1406639,03fdcc01-fc10-30be-9bd7-87a219c2578e,81,2016-10-13,1476386653414,BOS,CUN,449.43,ADT,,AA,2016-11-11,1478886600000,1325,1,2016-11-14,1479145140000,740,1,AA,2,29,3,True,7,E,E
10,1089537,3c1673f9-a112-3841-ab88-1c5f0ee1a696,61,2015-10-07,1444248751697,BOS,CUN,512.74,,,,2016-01-14,1452780000000,641,1,2016-01-18,1453114800000,700,2,DL,3,99,4,True,9,E,E
11,2817127,07a3e0c8-d5a5-3f72-ba57-a51772d3818b,191,2015-08-12,1439402403526,BOS,CUN,887.28,,,,2015-09-27,1443366000000,580,2,2015-10-04,1443969000000,535,1,DL,3,46,7,True,1,E,F
12,1871866,cdded379-9b69-32ab-852d-e72d5922e367,42,2015-09-12,1442065733549,BOS,CUN,473.83,,,,2015-09-28,1443471600000,648,1,2015-10-05,1444046400000,567,2,DL,3,16,7,True,9,E,E
13,1982234,8c26e98a-046d-3939-81a7-8f018e259691,33,2016-09-07,1473221984030,BOS,CUN,427.69,ADT,,AA,2017-03-29,1490784000000,445,1,2017-04-02,1491137700000,373,1,AA,2,203,4,True,5,E,E
14,1882875,cb0b31b7-a750-3863-aa05-995b545ba5a8,115,2016-10-19,1476911750828,BOS,CUN,365.93,ADT,,UA,2017-01-13,1484306100000,770,1,2017-01-16,1484591400000,619,1,UA,2,86,3,True,9,E,E
15,788605,ec92d716-d625-302c-8ff9-0017cd9ec0da,144,2016-02-25,1456417797948,BOS,CUN,1263.39,ADT,,UA,2016-03-14,1457958960000,524,1,2016-03-18,1458319500000,497,1,UA,2,18,4,False,2,E,E
16,2584363,e7828942-6729-3dc5-a39d-8d287c195aee,4,2016-08-17,1471473145267,BOS,CUN,517.52,ADT,,UA,2017-02-16,1487251800000,635,1,2017-02-25,1488059460000,1025,1,UA,2,183,9,True,9,E,E
17,844937,4e9b0e39-0e1a-3d16-a821-07258f7faaab,104,2016-05-03,1462291435809,BOS,CUN,530.08,ADT,,UA,2017-03-02,1488453300000,440,1,2017-03-05,1488742200000,484,1,UA,2,303,3,True,9,E,E
18,2788711,e493d374-b58a-343e-8cba-ffbff8275f32,24,2016-03-03,1457000738681,BOS,CUN,623.69,ADT,,UA,2016-03-11,1457690400000,670,1,2016-03-15,1458067080000,521,1,UA,2,8,4,True,8,E,E
19,2115558,829ed389-d7e8-3871-aa3e-05fff0274ff6,76,2016-08-11,1470952226577,BOS,CUN,463.52,ADT,,UA,2016-11-11,1478862840000,611,1,2016-11-16,1479324900000,514,1,UA,2,92,5,True,9,E,E
20,2428636,1db521db-f5d6-3b60-ad3a-68ab46b41933,171,2016-07-31,1469985899285,BOS,CUN,682.97,ADT,,AA,2016-08-18,1471532580000,364,1,2016-08-22,1471887180000,393,1,AA,2,18,4,True,8,E,E
21,544805,6d6dc34a-59d7-3369-824c-c935f4384e26,2,2016-06-15,1466024010739,BOS,CUN,508.24,ADT,,UA,2016-08-07,1470560820000,865,1,2016-08-14,1471195800000,674,1,UA,2,53,7,True,9,E,E
22,495023,a0979230-b050-3d68-a996-0afa9b5cbb09,26,2016-07-17,1468785911622,BOS,CUN,465.97,ADT,,AA,2016-09-08,1473335700000,394,1,2016-09-12,1473683700000,515,1,AA,2,53,4,True,9,E,E
23,1935448,9da008cc-2853-3d11-b92a-1687ee6786d8,83,2016-12-17,1481986091969,BOS,CUN,341.18,ADT,,AA,2017-01-06,1483700400000,396,1,2017-08-06,1502017200000,985,1,AA,2,20,212,True,2,E,E
24,2228971,768ca413-5ddf-371c-b1d6-a1c9f8c07b85,190,2016-12-18,1482047731107,BOS,CUN,631.68,ADT,,UA,2016-12-29,1483010100000,530,1,2017-01-03,1483473600000,879,1,UA,2,11,5,True,3,E,E
25,349383,3c4eac8c-39de-3725-bb22-d4413bded726,86,2015-10-11,1444572071782,BOS,CUN,416.14,,,,2016-02-01,1454351400000,436,1,2016-02-08,1454943240000,566,1,DL,2,113,7,True,4,E,E
26,403558,be1deb4a-9f57-3d18-9145-53d9015ba8b1,119,2016-05-29,1464534677191,BOS,CUN,565.58,ADT,,AA,2016-12-03,1480763700000,385,1,2016-12-10,1481381400000,463,1,AA,2,188,7,True,8,E,E
27,2558909,619b2b04-c95a-3a0a-9728-f21db18a361f,64,2016-01-26,1453850809511,BOS,CUN,732.79,ADT,,UA,2016-03-13,1457864160000,664,1,2016-03-20,1458493800000,562,1,UA,2,47,7,True,9,E,E
28,2400617,88f1c097-4668-3647-a047-33f6c435b220,105,2015-11-11,1447258566878,BOS,CUN,537.7,,,,2016-02-18,1455802200000,395,1,2016-02-25,1456401600000,565,1,DL,2,99,7,True,9,E,E
29,2995319,39412c1f-4660-3611-b309-ea3c2d794bc4,54,2016-08-28,1472403249405,BOS,CUN,477.52,ADT,,AA,2016-12-30,1483097100000,951,1,2017-01-08,1483883700000,373,1,AA,2,124,9,True,9,E,E
30,1560147,251f5619-5c4a-3ab9-ba99-c80565c5196c,58,2016-03-28,1459218019032,BOS,CUN,499.69,ADT,,AA,2016-04-13,1460538000000,551,1,2016-04-20,1461150300000,565,1,AA,2,16,7,True,3,E,E
31,2508980,1c24ea06-23ec-33bb-962c-e05e3b39a69e,153,2016-01-31,1454270954230,BOS,CUN,543.29,ADT,,UA,2016-05-11,1462973400000,602,2,2016-05-14,1463256000000,489,1,UA,3,101,3,False,9,E,E
32,1821000,3344859d-b7cd-3ca1-ad76-117623a40dfc,172,2016-11-10,1478818563417,BOS,CUN,301.91,ADT,,AA,2017-01-10,1484049600000,455,1,2017-01-14,1484426100000,1271,1,AA,2,61,4,False,7,E,E
33,1218723,143039d7-f24f-33fc-8f4c-a584babc135c,25,2015-11-20,1448026890413,BOS,CUN,329.7,,,,2015-12-04,1449226200000,402,1,2015-12-08,1449599220000,595,1,UA,2,14,4,True,4,E,E
34,2420563,7138a637-263b-3e4f-bdcb-5a567b6b7d63,60,2016-10-20,1477009964270,BOS,CUN,322.43,ADT,,UA,2017-01-05,1483662720000,943,1,2017-01-09,1483980000000,743,2,UA,3,77,4,True,9,E,E
35,2947513,7dc21c17-eff2-35c6-bbce-cc2bdb025b5a,122,2015-10-21,1445456221571,BOS,CUN,628.36,,,,2016-02-20,1455970500000,470,1,2016-02-28,1456670700000,730,2,DL,3,122,8,True,3,E,E
36,2532796,ac9dd393-9d34-3c56-ae44-c59be67bb352,22,2016-11-27,1480242651488,BOS,CUN,310.91,ADT,,AA,2016-12-16,1481884380000,888,1,2016-12-24,1482610500000,584,1,AA,2,19,8,True,2,E,E
37,1166804,cf49290f-34b5-3276-8943-b8bbea3cb499,194,2016-09-11,1473639849519,BOS,CUN,416.69,ADT,,AA,2017-01-21,1484997900000,483,1,2017-01-28,1485626100000,373,1,AA,2,132,7,True,3,E,E
38,2544985,e4034f57-9246-3b2b-8aa5-8be91d131b76,132,2016-11-27,1480265784107,BOS,CUN,766.04,ADT,,AA,2017-02-18,1487457900000,1125,1,2017-02-24,1487958900000,1251,1,AA,2,83,6,True,1,E,E
39,745174,c601f6ef-d6ac-346a-bd99-cfa635420254,109,2016-04-28,1461877044405,BOS,CUN,610.3,ADT,,AA,2016-09-08,1473331200000,445,1,2016-09-11,1473623100000,405,1,AA,2,133,3,True,7,E,E
40,1774505,e8022f9f-76af-3512-847e-b4bcc1001c1e,69,2015-12-17,1450371739575,BOS,CUN,695.21,ADT,,DL,2016-03-16,1458149400000,436,1,2016-03-20,1458478800000,525,1,DL,2,90,4,True,9,E,E
